ban,camp,game_time,is_win,kill,op_ban,op_camp,op_kill,op_pick,op_team_id,op_team_name,pick,season_id,season_name
125|152|154|509,2,2019-01-12 21:43:10,0,16,162|187|189|507,op_1,op_13,108|118|134|194|199,45,Hero久竞,129|132|149|156|168,22,2018冬季冠军杯
118|152|171|184,1,2019-01-12 21:15:22,1,12,162|189|198|507,op_2,op_2,106|123|132|139|191,45,Hero久竞,135|141|193|196|509,22,2018冬季冠军杯
118|134|154|509,2,2019-01-12 20:37:50,1,14,129|141|162|189,op_1,op_1,113|128|176|186|196,45,Hero久竞,106|140|184|194|199,22,2018冬季冠军杯
118|134|196|509,1,2019-01-12 19:54:48,0,4,140|162|189|507,op_2,op_10,312|135|168|198|502,45,Hero久竞,111|120|152|186|510,22,2018冬季冠军杯
118|148|152|509,2,2019-01-12 19:22:20,0,15,140|171|186|189,op_1,op_21,126|157|162|187|507,45,Hero久竞,105|123|128|176|502,22,2018冬季冠军杯
118|123|196|507,1,2019-01-12 18:31:01,0,19,125|162|176|502,op_2,op_24,129|174|182|189|510,45,Hero久竞,113|126|148|154|167,22,2018冬季冠军杯
120|135|194|509,2,2019-01-06 20:28:36,1,12,140|162|171|189,op_1,op_3,105|118|123|125|502,32,BA黑凤梨,121|126|152|167|510,22,2018冬季冠军杯
118|148|507|509,2,2019-01-06 16:44:37,1,20,113|123|186|189,op_1,op_4,105|126|154|176|502,69,ROX,152|162|194|501|510,22,2018冬季冠军杯
123|144|162|509,2,2019-01-05 21:05:28,0,15,113|156|189|502,op_1,op_23,118|132|154|171|510,25,QGhappy,120|125|140|186|199,22,2018冬季冠军杯
118|120|123|509,1,2019-01-05 16:49:19,1,21,105|189|502|510,op_2,op_10,125|132|153|193|194,32,BA黑凤梨,128|140|152|162|171,22,2018冬季冠军杯
118|176|507|509,1,2019-01-04 18:44:54,1,20,113|120|182|502,op_2,op_6,126|132|141|171|510,69,ROX,134|140|156|162|189,22,2018冬季冠军杯
111|120|152|189,1,2019-01-04 15:27:22,0,6,125|148|162|502,op_2,op_16,113|123|156|167|510,25,QGhappy,132|136|194|507|509,22,2018冬季冠军杯
120|134|141|509,2,2019-01-01 21:12:53,1,20,125|152|189|198,op_1,op_15,132|135|156|186|507,38,RNG.M,113|148|154|199|510,22,2018冬季冠军杯
123|154|186|187,1,2019-01-01 20:33:38,1,10,152|167|189|509,op_2,op_4,111|118|126|184|198,38,RNG.M,120|156|168|195|507,22,2018冬季冠军杯
126|156|186|509,2,2019-01-01 19:53:22,1,13,144|152|189|198,op_1,op_8,113|128|140|176|502,38,RNG.M,118|121|123|162|187,22,2018冬季冠军杯
113|120|132|167,1,2019-01-01 19:19:28,1,13,105|123|152|509,op_2,op_7,125|144|174|189|510,38,RNG.M,128|171|176|194|502,22,2018冬季冠军杯
113|154|502|509,2,2019-01-01 18:49:46,0,3,111|120|189|510,op_1,op_9,121|152|162|171|194,38,RNG.M,108|126|132|140|186,22,2018冬季冠军杯
125|152|162|502,2,2018-12-30 18:29:33,1,14,189|196|198|509,op_1,op_8,111|140|154|171|507,44,Ts,135|176|186|199|510,22,2018冬季冠军杯
111|113|118|187,2,2018-12-30 16:06:31,1,17,129|140|189|507,op_1,op_7,106|120|186|502|510,38,RNG.M,123|152|162|198|509,22,2018冬季冠军杯
125|152|507|510,2,2018-12-29 18:52:55,1,12,113|168|187|189,op_1,op_12,111|118|123|186|509,28,JC,126|140|154|156|502,22,2018冬季冠军杯
113|125|126|507,2,2018-12-29 16:40:39,1,12,118|162|182|189,op_1,op_8,123|152|168|502|510,52,WE,129|140|156|167|509,22,2018冬季冠军杯
111|125|141|502,2,2018-12-28 22:33:15,1,13,118|162|167|187,op_1,op_8,132|152|186|507|509,31,YTG,113|140|176|194|199,22,2018冬季冠军杯
186|187|502|507,2,2018-12-28 19:24:51,0,21,113|140|509|510,op_1,op_11,120|154|162|182|183,25,QGhappy,118|126|134|167|189,22,2018冬季冠军杯
111|132|502|509,2,2018-12-28 15:26:12,1,10,113|118|129|189,op_1,op_7,125|126|148|183|510,13,eStar,128|140|162|171|501,22,2018冬季冠军杯
141|182|507|509,2,2018-12-08 22:48:34,0,14,154|156|187|501,op_1,op_17,139|144|179|191|502,32,BA黑凤梨,111|125|153|168|198,20,2018KPL职业联赛秋季赛
152|179|507|509,1,2018-12-08 22:18:23,1,11,123|140|156|502,op_2,op_6,129|131|149|171|504,32,BA黑凤梨,121|144|176|186|196,20,2018KPL职业联赛秋季赛
129|144|502|507,2,2018-12-08 21:47:50,0,2,140|141|156|182,op_1,op_12,118|120|125|154|199,32,BA黑凤梨,113|132|139|191|194,20,2018KPL职业联赛秋季赛
125|152|173|182,1,2018-12-08 20:58:28,0,20,131|156|176|502,op_2,op_24,135|140|157|187|195,32,BA黑凤梨,108|134|199|507|509,20,2018KPL职业联赛秋季赛
125|141|502|507,2,2018-12-08 20:13:46,1,20,140|152|156|182,op_1,op_12,106|123|132|189|194,32,BA黑凤梨,105|118|126|162|510,20,2018KPL职业联赛秋季赛
118|125|187|507,1,2018-12-08 19:25:57,1,18,154|156|502|510,op_2,op_17,105|126|134|162|196,32,BA黑凤梨,129|135|148|167|189,20,2018KPL职业联赛秋季赛}
111|116|149|509,1,2018-12-02 21:54:19,1,16,135|136|189|502,op_2,op_7,144|154|156|186|199,38,RNG.M,118|123|167|168|507,20,2018KPL职业联赛秋季赛
139|140|502|509,2,2018-12-02 21:21:40,1,12,182|184|187|189,op_1,op_6,118|120|132|141|198,38,RNG.M,154|157|180|194|199,20,2018KPL职业联赛秋季赛
